latitude_dd,longitude_dd,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,siteNotes,latitude,longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_types,hwm_qualities,marker,vertical_datums,approval,event,site,peak_summary,files,horizontal_datums,horizontal_collect_methods,vertical_collect_methods,survey_member,flag_member,Links,wind
40.7183,-74.015,Sandy,Debris,Poor: +/- 0.40 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07512,,,,NY,New York County,,Yes,,40.7181,-74.0147,6366,,7512,24,2,4,in garden,,11.1,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7169,-74.0119,Sandy,Seed line,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07513,,,,NY,New York County,,Yes,,40.7169,-74.0119,6367,,7513,24,5,1,on loading dock,,10.9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7169,-74.0125,Sandy,Seed line,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07513,,,,NY,New York County,,Yes,,40.7169,-74.0119,6368,,7513,24,5,3,on outside door of building,,10.6,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7164,-74.0136,Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07514,,,,NY,New York County,,Yes,,40.7164,-74.0136,6369,,7514,24,5,2,on outside wall of building,,9.8,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7131,-74.0139,Sandy,Mud,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07515,,,,NY,New York County,,Yes,,40.7131,-74.0139,6370,,7515,24,1,2,on window of building,,9.7,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7208,-74.0114,Sandy,Mud,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07516,,,,NY,New York County,,Yes,,40.7208,-74.0114,6371,,7516,24,1,1,on outside door of building,,10.8,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.877,-73.926,Sandy,Debris,Good: +/- 0.10 ft,NAVD88,,,,Static-GNSS,NAD83,Marie Peppler,,NYNEW07517,"SSS-NY-NEW-001WL
SSS-NY-NEW-001BP",Network critical,SWaTH,NY,New York County,,No,,40.877565,-73.926331,6372,,7517,24,2,2,on beach,,9.5,2,,,,,,2,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.868,-73.9119,Sandy,Seed line,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07518,,,,NY,New York County,,Yes,,40.868,-73.9119,6373,,7518,24,5,1,on guard booth,,9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7966,-73.9155,Sandy,Debris,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07519,,,,NY,New York County,,Yes,,40.7966,-73.9155,6374,,7519,24,2,3,on side of fence,,11.1,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.800589,-73.926474,Sandy,Seed line,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07520,,,,NY,New York County,,Yes,,40.800589,-73.926474,6375,,7520,24,5,3,inside storage container inside chain link fenced area of NYPD Marina,,10.3,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
